analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.21301251518124661
Controle||None||B1||c1,1,12,0.2662,0.26623158727605184
LUIS RAW||PEP+GB||A3||c1,1,8,0.7592,0.1754787256611703
LUIS RAW||PEP+GB||A3||c1,1,12,0.805,0.31142148301728073
LUIS RAW||PEP+GB||A3||c1,1,24,1.0,1.0
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.41852067807867704
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.7244101330214395
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.18577276898404127
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.24394580911457328
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.6368252238705934
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.7837519090342051
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.2914151808408101
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.6195971032798255
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.4933696242766988
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.5847949083560464
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.41793497774229377
LUIS RAW||PEP||E1||c2,2,12,0.7848,0.6978099169468421
LUIS RAW||PET||C5||c1,1,8,0.2904,0.28120356615655495
LUIS RAW||PET||C5||c1,1,12,0.3475,0.3394112871974187
LUIS RAW||PET||F2||c1,1,12,0.0212,0.4712652264186617
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,0.7381275066696783
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.54513212884281
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.7440350688548115
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.5384760977958434
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7216775386282493
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.43106126248351356
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.5778964402250512
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.5363635230440617
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.5422162549296428
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.6955786649451058
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.5661465938104631
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.8344079700235382
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.5821830454091443
