analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.22726209219577573
Controle||None||B1||c1,1,12,0.2662,0.27787592544259576
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.4754134127939717
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.7867145884182646
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.2465444539482985
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.31130431226628136
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.6227957179477257
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.17024510119210642
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.31449689344289616
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,1.0
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.516795845230364
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.560099909974233
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.5000541444987204
LUIS RAW||PEP||E1||c2,2,12,0.7848,1.0
LUIS RAW||PET||C5||c1,1,8,0.2904,0.2834908232824751
LUIS RAW||PET||C5||c1,1,12,0.3475,0.34327479827231566
LUIS RAW||PET||F2||c1,1,12,0.0212,1.0
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,1.0
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.36957687395601696
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.4742566045559128
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.5210092651994223
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7083334909294925
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.35542002511169596
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.3916359075185981
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.5897858470721529
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.5818902944921927
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.7342150225691404
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.5675838002756002
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.8700770191360878
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.5802807014230796
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.6023419191161511
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.6952860822385076
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.12463752433737989
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,0.15850733723589658
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.38141301129917243
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,0.10463597701825776
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,0.15044268502576225
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.4570905438514436
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.2143261101696478
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.30017344960419506
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,0.5287007283334986
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.22334766090111088
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,0.5794,0.5489223136924248
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,-0.001239293740128392
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,0.103,0.11216191103846808
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.43623364751284627
Originais (1)||None||A1||c1,1,8,0.5074,0.5639257577491625
Originais (1)||None||A1||c1,1,12,0.7203,0.6916340852828033
Originais (1)||None||A1||c1,1,24,1.0,1.0
Originais (1)||None||A1||c2,2,8,0.489,0.49174676198164635
Originais (1)||None||A1||c2,2,12,0.7077,0.6744905883359439
Originais (1)||None||A1||c2,2,24,1.0,1.0
Originais (1)||None||A5||c1,1,8,0.6163,0.5826402695358062
Originais (1)||None||A5||c1,1,12,0.8311,0.7119520294541078
Originais (1)||None||A5||c1,1,24,1.0,1.0
Originais (1)||None||A5||c2,2,8,0.5978,0.5723133188610097
Originais (1)||None||A5||c2,2,12,0.8303,1.0
Originais (1)||None||A5||c2,2,24,1.0,1.0
Originais (1)||None||B5||c1,1,8,0.5039,0.5099626634661294
Originais (1)||None||B5||c1,1,12,0.6416,0.6469009767151486
Originais (1)||None||B5||c2,2,8,0.2352,0.45450269896489964
Originais (1)||None||B5||c2,2,12,0.2843,0.5638415460062594
Originais (1)||None||D1||c2,2,8,0.2561,0.4976550006114515
Originais (1)||None||D1||c2,2,12,0.432,1.0
P1|CT|F10,F10,48,1.0,1.0
P1|CT|F8,F8,24,1.0,1.0
P1|CT|F8,F8,48,1.0,1.0
P1|PTX|F2,F2,24,0.4384,0.49734081961928617
P1|PTX|F2,F2,48,0.7695,0.7030101148873843
P1|PTX|F9,F9,24,0.1489,0.19552056160571793
P1|PTX|F9,F9,48,0.4793,0.352906408729653
P2|CARBO+GEO|F14,F14,48,0.4971,0.4756296418989109
P2|CARBO+GEO|F8,F8,24,0.5044,0.49493731861947843
P2|CARBO+GEO|F8,F8,48,0.5957,0.6550541477034199
P2|CARBO|F9,F9,24,0.5362,0.5565102424260752
P2|CARBO|F9,F9,48,1.0,1.0
P2|CT|F9,F9,24,0.8479,0.884164995132582
P2|CT|F9,F9,48,1.0,1.0
P2|GEO|F11,F11,24,0.4712,0.4756798178636117
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.6916970232392272
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0
Saudável||None||B1||c1,1,12,0.2474,-0.1774565230192594
Saudável||None||B1||c1,1,24,0.8772,1.0
Saudável||None||B1||c2,2,24,0.6237,0.6368767522000764
originais||None||A1||c1,1,8,0.4187,0.40048850630824584
originais||None||A1||c2,2,8,0.2655,0.2957829288128355
originais||None||B5||c1,1,24,0.4674,1.0
originais||None||D1||c1,1,8,0.4376,0.4534059840082538
originais||None||D1||c1,1,12,0.5513,0.569306325767346
originais||None||D1||c1,1,24,0.8835,0.83929638466168
originais||None||D1||c2,2,8,0.4467,0.42995881092063054
originais||None||D1||c2,2,12,0.5702,0.5523151626072763
originais||None||D1||c2,2,24,0.7929,0.8122955768207373
originais||None||D4||c1,1,8,0.6003,0.6052399032951054
originais||None||D4||c1,1,24,0.8093,1.0
