analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.22911945079414398
Controle||None||B1||c1,1,12,0.2662,0.27918399579810166
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.47157940297545325
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,1.0
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.23988896098861098
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.31600355368195354
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.6079589555503901
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.18583415107274873
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.3227589309639049
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.6150731697234854
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.4856604923420941
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.5657700471062802
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.4969125238406225
LUIS RAW||PEP||E1||c2,2,12,0.7848,1.0
LUIS RAW||PET||C5||c1,1,8,0.2904,0.28708530021463463
LUIS RAW||PET||C5||c1,1,12,0.3475,0.34761578970889373
LUIS RAW||PET||F2||c1,1,12,0.0212,0.5280606432180036
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,1.0
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.3863945070829262
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.47091986628963217
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.5171655515700325
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7043108679506358
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.35413452878193236
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.40156683689693984
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.5855653249115877
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.5793820014821349
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.7344206495969969
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.5712821121945606
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.9345019670185684
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.5767408054697519
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.6013678108654129
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.6937899569587257
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.11964644591193815
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,0.15326717728395522
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.372849658220023
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,0.09622521836904015
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,0.1471375538226442
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.4561210956503835
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.20946073274470645
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.30231069832455487
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,0.15290033182206317
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.21697557854312555
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,0.5794,0.5388314743112339
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,0.0029548235370487914
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,0.103,0.1168498171066811
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.44699645032488433
Originais (1)||None||A1||c1,1,8,0.5074,0.5699351578721987
Originais (1)||None||A1||c1,1,12,0.7203,1.0
Originais (1)||None||A1||c1,1,24,1.0,1.0
Originais (1)||None||A1||c2,2,8,0.489,0.49548161616632475
Originais (1)||None||A1||c2,2,12,0.7077,1.0
Originais (1)||None||A1||c2,2,24,1.0,1.0
Originais (1)||None||A5||c1,1,8,0.6163,0.5909895503353235
Originais (1)||None||A5||c1,1,12,0.8311,1.0
Originais (1)||None||A5||c1,1,24,1.0,1.0
Originais (1)||None||A5||c2,2,8,0.5978,0.5760781991958646
Originais (1)||None||A5||c2,2,12,0.8303,1.0
Originais (1)||None||A5||c2,2,24,1.0,1.0
Originais (1)||None||B5||c1,1,8,0.5039,0.5099715494162184
Originais (1)||None||B5||c1,1,12,0.6416,0.6459769784231802
Originais (1)||None||B5||c2,2,8,0.2352,0.44919754758980096
Originais (1)||None||B5||c2,2,12,0.2843,0.5671218674222696
Originais (1)||None||D1||c2,2,8,0.2561,0.5038506833962697
Originais (1)||None||D1||c2,2,12,0.432,1.0
P1|CT|F10,F10,48,1.0,1.0
P1|CT|F8,F8,24,1.0,1.0
P1|CT|F8,F8,48,1.0,1.0
P1|PTX|F2,F2,24,0.4384,0.4983786254985846
P1|PTX|F2,F2,48,0.7695,0.7002397509248052
P1|PTX|F9,F9,24,0.1489,0.16206988754480542
P1|PTX|F9,F9,48,0.4793,0.3165247601930518
P2|CARBO+GEO|F14,F14,48,0.4971,0.3727139220027667
P2|CARBO+GEO|F8,F8,24,0.5044,0.4604207781526008
P2|CARBO+GEO|F8,F8,48,0.5957,0.5428987679359193
P2|CARBO|F9,F9,24,0.5362,0.4383346107085831
P2|CARBO|F9,F9,48,1.0,1.0
P2|CT|F9,F9,24,0.8479,0.8570675297418572
P2|CT|F9,F9,48,1.0,1.0
P2|GEO|F11,F11,24,0.4712,0.45711471506183593
