analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.21886970783725773
Controle||None||B1||c1,1,12,0.2662,0.27158133509402
LUIS RAW||PEP+GB||A3||c1,1,8,0.7592,0.1605199169491219
LUIS RAW||PEP+GB||A3||c1,1,12,0.805,0.25088971516650177
LUIS RAW||PEP+GB||A3||c1,1,24,1.0,1.0
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.4293653489167422
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.7481149828087714
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.23110829012884404
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.2773754897766756
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.6360532111636663
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.4432682863634211
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.3172826699045708
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.6339685869696638
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.5197462333180912
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.5704645087024206
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.4926755037485204
LUIS RAW||PEP||E1||c2,2,12,0.7848,0.7242704147411254
LUIS RAW||PET||C5||c1,1,8,0.2904,0.2835644483843052
LUIS RAW||PET||C5||c1,1,12,0.3475,0.3376947164164487
LUIS RAW||PET||F2||c1,1,12,0.0212,0.4942743690175345
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,0.7544712050836077
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.5799562497833626
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.7350400774094498
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.5364276690823317
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7176543326661641
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.4513039903687978
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.6147559304677402
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.5643627670182364
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.5709306382224141
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.7135214925265734
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.5610245368782091
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.8403870647792147
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.5819593793514077
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.5993496616262123
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.6948251032976297
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.10533663008411943
